Time,Step,EN+1.电压,EN+1.电流,EN+1.功率,EN+2.电压,EN+2.电流,EN+2.功率,{陪测A}EN+1.电压,{陪测A}EN+1.电流,{陪测A}EN+1.功率,{陪测A}EN+2.电压,{陪测A}EN+2.电流,{陪测A}EN+2.功率,485-1_环境温度,485-1_PV温度,485-1_PCS温度,485-1_PV1电压,485-1_PV1-B电流,485-1_PV2电压,485-1_PV2-B电流,485-1_PV3电压,485-1_PV3-B电流,485-1_PV4电压,485-1_PV4-B电流,485-1_PV1深度电流,485-1_PV2深度电流,485-1_PV3深度电流,485-1_PV4深度电流,485-1_PV1深度电流1,485-1_PV2深度电流1,485-1_PV3深度电流1,485-1_PV4深度电流1,485-1_电网电压A,485-1_电网电压B,485-1_电网电压C,485-1_逆变电流A,485-1_逆变电流B,485-1_逆变电流C,485-1_电网主故障码1,485-1_电网主故障码2,485-1_系统主故障码1,485-1_系统主故障码2,485-1_设备主故障码1,485-1_设备主故障码2,485-1_DC/母线主故障码1,485-1_PV侧故障1,485-1_PV侧故障2,485-1_电池主故障码1,485-1_电池主故障码2,485-1_电池主故障码3,485-1_内部故障主故障码1,485-1_内部故障主故障码2,485-1_内部故障主故障码3,485-1_内部故障主故障码4,485-1_告警信息1,判断功率,BAT功率,Result
7时51分58秒,36/79 开始采集,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.04,26.94,25,24.8,25.1,598.6,0,599.3,0,600.1,0,600.1,51.4,0,0,0,0,0,0,0,0,231.6,232.2,230.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,OK
7时51分58秒,36/79 开始采集,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.04,26.94,25,24.8,25.1,598.6,0,599.3,0,600.1,0,600.1,51.4,0,0,0,0,0,0,0,0,231.6,232.2,230.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,OK
7时52分03秒,36/79 开始采集,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.04,26.94,25,24.8,25.1,598.6,0,599.4,0,600.1,0,600.2,51.4,0,0,0,0,0,0,0,0,231.6,232.1,231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,OK
7时52分03秒,36/79 开始采集,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.04,26.94,25,24.8,25.1,598.6,0,599.4,0,600.1,0,600.2,51.4,0,0,0,0,0,0,0,0,231.6,232.1,231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,OK
7时52分08秒,36/79 开始采集,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.04,26.94,25,24.8,25.1,598.6,0,599.4,0,600.1,0,600.2,51.4,0,0,0,0,0,0,0,0,231.6,232.1,231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,OK
7时52分08秒,36/79 开始采集,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.04,26.94,25,24.8,25.1,598.6,0,599.4,0,600.1,0,600.2,51.4,0,0,0,0,0,0,0,0,231.6,232.1,231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,OK
7时52分13秒,43/79 Modbus写入,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.03,15.81,26,24.8,25.1,598.6,0,599.4,0,600.2,0,600.3,51.4,0,0,0,0,0,0,0,0,231.8,232.3,231.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,OK
7时52分18秒,43/79 Modbus写入,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.03,15.81,26,24.8,25.1,598.6,0,599.4,0,600.2,0,600.3,51.4,0,0,0,0,0,0,0,0,231.8,232.3,231.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,OK
7时52分23秒,44/79 静置,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.03,15.81,26,24.8,25.1,598.7,0,599.4,0,600.2,0,600.3,51.4,0,0,0,0,0,0,0,0,231.8,232.3,231.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,OK
7时52分28秒,44/79 静置,599.8,0.03,15.81,599.79,0.05,31.63,599.88,0.03,15.82,599.77,0.03,15.81,26,24.8,25.1,598.7,0,599.4,0,600.2,0,600.3,51.4,0,0,0,0,0,0,0,0,231.8,232.3,231.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,OK
